timestamp,beats per minute,data source
2017-10-08T00:00:05Z,89.0,Charge HR
2017-10-08T00:00:10Z,91.0,Charge HR
2017-10-08T00:00:15Z,94.0,Charge HR
2017-10-08T00:00:25Z,93.0,Charge HR
2017-10-08T00:00:40Z,93.0,Charge HR
2017-10-08T00:00:45Z,91.0,Charge HR
2017-10-08T00:01:00Z,90.0,Charge HR
2017-10-08T00:01:15Z,90.0,Charge HR
2017-10-08T00:01:20Z,89.0,Charge HR
2017-10-08T00:01:25Z,89.0,Charge HR
2017-10-08T00:01:40Z,89.0,Charge HR
2017-10-08T00:01:45Z,88.0,Charge HR
2017-10-08T00:01:55Z,87.0,Charge HR
2017-10-08T00:02:00Z,86.0,Charge HR
2017-10-08T00:02:15Z,86.0,Charge HR
2017-10-08T00:02:20Z,82.0,Charge HR
2017-10-08T00:02:25Z,81.0,Charge HR
2017-10-08T00:02:30Z,85.0,Charge HR
2017-10-08T00:02:35Z,85.0,Charge HR
2017-10-08T00:02:45Z,94.0,Charge HR
2017-10-08T00:02:50Z,99.0,Charge HR
2017-10-08T00:02:55Z,103.0,Charge HR
2017-10-08T00:03:00Z,104.0,Charge HR
2017-10-08T00:03:05Z,105.0,Charge HR
2017-10-08T00:03:10Z,106.0,Charge HR
2017-10-08T00:03:15Z,107.0,Charge HR
2017-10-08T00:03:20Z,106.0,Charge HR
2017-10-08T00:03:25Z,107.0,Charge HR
2017-10-08T00:03:35Z,108.0,Charge HR
2017-10-08T00:03:40Z,109.0,Charge HR
2017-10-08T00:03:50Z,79.0,Charge HR
2017-10-08T00:03:55Z,79.0,Charge HR
2017-10-08T00:04:00Z,76.0,Charge HR
2017-10-08T00:04:05Z,63.0,Charge HR
2017-10-08T00:04:10Z,62.0,Charge HR
2017-10-08T00:04:25Z,62.0,Charge HR
2017-10-08T00:04:40Z,62.0,Charge HR
2017-10-08T00:04:45Z,63.0,Charge HR
2017-10-08T00:04:55Z,64.0,Charge HR
2017-10-08T00:05:10Z,64.0,Charge HR
2017-10-08T00:05:15Z,65.0,Charge HR
2017-10-08T00:05:20Z,66.0,Charge HR
2017-10-08T00:05:35Z,66.0,Charge HR
2017-10-08T00:05:50Z,66.0,Charge HR
2017-10-08T00:06:00Z,68.0,Charge HR
2017-10-08T00:06:05Z,69.0,Charge HR
2017-10-08T00:06:15Z,71.0,Charge HR
2017-10-08T00:06:25Z,72.0,Charge HR
2017-10-08T00:06:40Z,73.0,Charge HR
2017-10-08T00:06:55Z,73.0,Charge HR
2017-10-08T00:07:00Z,73.0,Charge HR
2017-10-08T00:07:10Z,74.0,Charge HR
2017-10-08T00:07:15Z,76.0,Charge HR
2017-10-08T00:07:25Z,76.0,Charge HR
2017-10-08T00:07:40Z,76.0,Charge HR
2017-10-08T00:07:55Z,72.0,Charge HR
2017-10-08T00:08:00Z,71.0,Charge HR
2017-10-08T00:08:15Z,70.0,Charge HR
2017-10-08T00:08:20Z,71.0,Charge HR
2017-10-08T00:08:30Z,70.0,Charge HR
2017-10-08T00:08:45Z,70.0,Charge HR
2017-10-08T00:09:00Z,69.0,Charge HR
2017-10-08T00:09:15Z,69.0,Charge HR
2017-10-08T00:09:20Z,65.0,Charge HR
2017-10-08T00:09:30Z,64.0,Charge HR
2017-10-08T00:09:35Z,65.0,Charge HR
2017-10-08T00:09:40Z,69.0,Charge HR
2017-10-08T00:09:50Z,70.0,Charge HR
2017-10-08T00:09:55Z,71.0,Charge HR
2017-10-08T00:10:00Z,72.0,Charge HR
2017-10-08T00:10:05Z,72.0,Charge HR
2017-10-08T00:10:10Z,74.0,Charge HR
2017-10-08T00:10:20Z,72.0,Charge HR
2017-10-08T00:10:25Z,74.0,Charge HR
2017-10-08T00:10:30Z,72.0,Charge HR
2017-10-08T00:10:35Z,69.0,Charge HR
2017-10-08T00:10:40Z,69.0,Charge HR
2017-10-08T00:10:45Z,68.0,Charge HR
2017-10-08T00:10:50Z,70.0,Charge HR
2017-10-08T00:10:55Z,71.0,Charge HR
2017-10-08T00:11:00Z,72.0,Charge HR
2017-10-08T00:11:05Z,75.0,Charge HR
2017-10-08T00:11:10Z,74.0,Charge HR
2017-10-08T00:11:25Z,74.0,Charge HR
2017-10-08T00:11:30Z,73.0,Charge HR
2017-10-08T00:11:40Z,70.0,Charge HR
2017-10-08T00:11:45Z,68.0,Charge HR
2017-10-08T00:11:50Z,69.0,Charge HR
2017-10-08T00:12:00Z,73.0,Charge HR
2017-10-08T00:12:10Z,73.0,Charge HR
2017-10-08T00:12:15Z,70.0,Charge HR
2017-10-08T00:12:20Z,72.0,Charge HR
2017-10-08T00:12:25Z,72.0,Charge HR
2017-10-08T00:12:35Z,74.0,Charge HR
2017-10-08T00:12:40Z,74.0,Charge HR
2017-10-08T00:12:50Z,72.0,Charge HR
2017-10-08T00:13:05Z,73.0,Charge HR
2017-10-08T00:13:15Z,72.0,Charge HR
2017-10-08T00:13:25Z,71.0,Charge HR
2017-10-08T00:13:40Z,69.0,Charge HR
2017-10-08T00:13:50Z,67.0,Charge HR
2017-10-08T00:13:55Z,69.0,Charge HR
2017-10-08T00:14:00Z,68.0,Charge HR
